superkingdom;phylum;class;order;family;genus;species;;Eau18S;Normalisation (%);Sol18S;Normalisation (%)
ASV_820;Eukaryota;Oomycota;NA;Pythiales;Pythiaceae;Globisporangium;NA;0;;33;
ASV_1096;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Theileriidae;Theileria;Theileria equi;0;;0;
ASV_1475;Eukaryota;Rhodophyta;Florideophyceae;Corallinales;Porolithaceae;Porolithon;Porolithon onkodes;0;;27;
ASV_1492;Eukaryota;Ciliophora;Colpodea;Bryometopida;Bryometopidae;Bryometopus;Bryometopus atypicus;0;;10;
ASV_1602;Eukaryota;Ciliophora;Oligohymenophorea;Pleuronematida;Cyclidiidae;Protocyclidium;Protocyclidium sinica;0;;0;
ASV_2417;Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia borealis;0;;0;
ASV_3116;Eukaryota;Arthropoda;Insecta;NA;NA;NA;NA;0;;5;
ASV_3151;Eukaryota;NA;NA;Colponemida;NA;Palustrimonas;Palustrimonas yorkeensis;0;;0;
ASV_3153;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella;Wickerhamiella sorbophila;0;;0;
ASV_3160;Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis nipponica;0;;0;
ASV_3163;Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Araceae;Wolffiella;Wolffiella caudata;0;;0;
ASV_3167;Eukaryota;Arthropoda;Ostracoda;Platycopida;Cytherellidae;Cytherella;Cytherella leizhouensis;0;;0;
ASV_3178;Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Amorosiaceae;Amorocoelophoma;Amorocoelophoma cassiae;0;;0;
ASV_3181;Eukaryota;NA;Bigyra;Bicosoecida;NA;NA;NA;0;;0;
ASV_3187;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Lipomycetaceae;Myxozyma;NA;0;;0;
ASV_3191;Eukaryota;Ascomycota;Dothideomycetes;Mycosphaerellales;Phaeothecoidiellaceae;Translucidithyrium;Translucidithyrium thailandicum;0;;0;
ASV_3196;Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Prototheca;Prototheca wickerhamii;0;;0;
ASV_3205;Eukaryota;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces;Allomyces arbusculus;0;;0;
ASV_3207;Eukaryota;Basidiomycota;Tremellomycetes;Holtermanniales;NA;Holtermanniella;Holtermanniella wattica;0;;0;
ASV_3208;Eukaryota;Ascomycota;Sordariomycetes;Cephalothecales;Cephalothecaceae;Phialemonium;Phialemonium inflatum;0;;0;
ASV_150;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Yamadazyma;[Candida] membranifaciens;0;;0;
ASV_204;Eukaryota;Arthropoda;Collembola;Entomobryomorpha;Isotomidae;Isotoma;Isotoma anglicana;0;;0;
ASV_314;Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Kappamycetaceae;Kappamyces;Kappamyces laurelensis;231;;4;
ASV_356;Eukaryota;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;Umbelopsis isabellina;0;;39;
ASV_651;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces;Geranomyces michiganensis;0;;88;
ASV_941;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Zoothamniidae;Myoschiston;Myoschiston duplicatum;0;;47;
ASV_1486;Eukaryota;Mucoromycota;Endogonomycetes;Endogonales;Endogonaceae;Endogone;Endogone botryocarpus;0;;4;
ASV_1542;Eukaryota;Ciliophora;Colpodea;Cyrtolophosidida;Cyrtolophosididae;Cyrtolophosis;Cyrtolophosis mucicola;0;;21;
ASV_1760;Eukaryota;Ciliophora;NA;NA;NA;NA;NA;0;;7;
ASV_2219;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca punica;3;;2;
ASV_2225;Eukaryota;NA;NA;Rotosphaerida;Fonticulaceae;Fonticula;Fonticula alba;0;;0;
ASV_2923;Eukaryota;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;Trebouxia impressa;6;;0;
ASV_3324;Eukaryota;Ascomycota;Laboulbeniomycetes;Laboulbeniales;Laboulbeniaceae;Hesperomyces;Hesperomyces coleomegillae;0;;0;
ASV_3326;Eukaryota;Evosea;Eumycetozoa;Trichiida;Trichiidae;NA;NA;0;;0;
ASV_3344;Eukaryota;Cnidaria;Hydrozoa;Trachymedusae;Halicreatidae;Halicreas;Halicreas minimum;0;;0;
ASV_3350;Eukaryota;NA;NA;Colponemida;Colponemidia;Colponema;Colponema vietnamica;0;;0;
ASV_3361;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca infusionum;0;;0;
ASV_3362;Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Orchitophryidae;Mesanophrys;Mesanophrys carcini;0;;0;
ASV_3368;Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Goffeauzyma;NA;0;;0;
ASV_3373;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Zygoascus;Zygoascus hellenicus;0;;0;
ASV_3376;Eukaryota;Cnidaria;Anthozoa;Scleralcyonacea;Renillidae;Renilla;Renilla reniformis;0;;0;
ASV_3380;Eukaryota;NA;Synurophyceae;Synurales;Synuraceae;Tessellaria;Tessellaria volvocina;0;;0;
ASV_757;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Vaginicolidae;Vaginicola;Vaginicola crystallina;0;;24;
ASV_973;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Kregervanrija;NA;0;;1;
ASV_1416;Eukaryota;Basidiomycota;Atractiellomycetes;Atractiellales;Hoehnelomycetaceae;Proceropycnis;NA;0;;51;
ASV_1746;Eukaryota;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Myrmecia;Myrmecia biatorellae;4;;0;
ASV_2643;Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira;Melosira varians;0;;0;
ASV_3519;Eukaryota;Basidiomycota;Spiculogloeomycetes;Spiculogloeales;Spiculogloeaceae;Phyllozyma;Phyllozyma coprosmicola;0;;0;
ASV_3521;Eukaryota;Nematoda;Enoplea;Enoplida;Leptosomatidae;Thoracostoma;Thoracostoma trachygaster;0;;0;
ASV_3527;Eukaryota;Ascomycota;Sordariomycetes;Lulworthiales;Lulworthiaceae;Lulworthia;Lulworthia atlantica;0;;0;
ASV_3528;Eukaryota;Cercozoa;NA;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas alexieffi;0;;0;
ASV_3533;Eukaryota;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Septoglomus;Septoglomus constrictum;0;;0;
ASV_3534;Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Lepidodinium;Lepidodinium viride;0;;0;
ASV_3536;Eukaryota;Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Dacrymyces;Dacrymyces ancyleus;0;;0;
ASV_3544;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycopsidaceae;Saccharomycopsis;Saccharomycopsis fermentans;0;;0;
ASV_3551;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces bailii;0;;0;
ASV_3555;Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Triceratiaceae;Lampriscus;Lampriscus kittonii;0;;0;
ASV_3564;Eukaryota;NA;Bigyra;Bicosoecida;Siluaniidae;NA;NA;0;;0;
ASV_2;Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;NA;NA;0;;0;
ASV_3;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Pelodera;Pelodera teres;0;;0;
ASV_4;Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Spondias;Spondias tuberosa;0;;24307;
ASV_10;Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;NA;0;;0;
ASV_15;Eukaryota;Nematoda;Enoplea;Triplonchida;Prismatolaimidae;Prismatolaimus;Prismatolaimus intermedius;0;;11926;
ASV_16;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella;[Candida] boleticola;0;;0;
ASV_28;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Oscheius;Oscheius tipulae;0;;0;
ASV_29;Eukaryota;Nematoda;Chromadorea;Rhabditida;Cephalobidae;Acrobeloides;Acrobeloides apiculatus;0;;870;
ASV_33;Eukaryota;Nematoda;Chromadorea;Rhabditida;Merliniidae;Amplimerlinius;Amplimerlinius icarus;0;;2673;
ASV_34;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Rhabditella;Rhabditella axei;0;;0;
ASV_47;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia fermentans;116;;0;
ASV_48;Eukaryota;Nematoda;Chromadorea;Rhabditida;Diplogasteridae;Acrostichus;Acrostichus floridensis;0;;0;
ASV_54;Eukaryota;Nematoda;Chromadorea;Rhabditida;Ascaridiidae;Ascaridia;Ascaridia galli;0;;0;
ASV_57;Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Stephanodiscus;Stephanodiscus sp. KHR001;1869;;0;
ASV_58;Eukaryota;Ciliophora;Litostomatea;Pleurostomatida;NA;NA;NA;1207;;0;
ASV_61;Eukaryota;Arthropoda;Collembola;Poduromorpha;Hypogastruridae;Hypogastrura;Hypogastrura duplicispinosa;0;;0;
ASV_86;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Nakazawaea;Nakazawaea holstii;0;;0;
ASV_90;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Zoothamniidae;Zoothamnopsis;Zoothamnopsis sinica;820;;0;
ASV_96;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;[Candida] vartiovaarae;0;;0;
ASV_97;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Distolabrellus;Distolabrellus veechi;0;;0;
ASV_99;Eukaryota;Streptophyta;Magnoliopsida;Rosales;Cannabaceae;Humulus;Humulus lupulus;0;;0;
ASV_102;Eukaryota;Nematoda;Chromadorea;Rhabditida;Panagrolaimidae;Panagrobelus;Panagrobelus stammeri;0;;997;
ASV_104;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Polyaspididae;Polyaspis;Polyaspis lamellipes;0;;0;
ASV_105;Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Ceratellopsis;Ceratellopsis acuminata;0;;316;
ASV_106;Eukaryota;NA;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas longispina;743;;0;
ASV_110;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Carteria;Carteria lunzensis;660;;0;
ASV_113;Eukaryota;Nematoda;Chromadorea;Rhabditida;Neodiplogasteridae;Koerneria;Koerneria lucani;0;;0;
ASV_129;Eukaryota;Nematoda;Chromadorea;Rhabditida;Hoplolaimidae;Helicotylenchus;Helicotylenchus dihystera;0;;575;
ASV_139;Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;Conticribra guillardii;478;;0;
ASV_142;Eukaryota;Nematoda;Chromadorea;Rhabditida;Aphelenchoididae;Bursaphelenchus;Bursaphelenchus arthuroides;0;;0;
ASV_145;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces;Wickerhamomyces rabaulensis;0;;0;
ASV_152;Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Labyrinthulochytrium;Labyrinthulochytrium arktikum;0;;0;
ASV_160;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Pellioditis;Pellioditis marina;0;;321;
ASV_172;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;NA;0;;0;
ASV_180;Eukaryota;Nematoda;Chromadorea;Rhabditida;Criconematidae;Hemicriconemoides;Hemicriconemoides chitwoodi;0;;674;
ASV_182;Eukaryota;Oomycota;NA;Pythiales;Pythiaceae;Pythium;Pythium monospermum;448;;0;
ASV_189;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Poikilolaimus;Poikilolaimus oxycercus;0;;0;
ASV_195;Eukaryota;Evosea;Variosea;NA;NA;Filamoeba;Filamoeba nolandi;0;;22;
ASV_199;Eukaryota;Arthropoda;Insecta;Coleoptera;Staphylinidae;Thinonoma;Thinonoma atra;0;;0;
ASV_205;Eukaryota;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Holosticha;Holosticha diademata;316;;0;
ASV_218;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Mesorhabditis;Mesorhabditis spiculigera;0;;0;
ASV_221;Eukaryota;Nematoda;Chromadorea;Rhabditida;Cephalobidae;Eucephalobus;Eucephalobus striatus;0;;0;
ASV_223;Eukaryota;Ciliophora;Nassophorea;Synhymeniida;Orthodonellidae;Zosterodasys;NA;289;;0;
ASV_224;Eukaryota;Ciliophora;Oligohymenophorea;Hymenostomatida;Glaucomidae;Glaucoma;Glaucoma scintillans;319;;0;
ASV_227;Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula tripunctata;520;;0;
ASV_233;Eukaryota;Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium;NA;6;;0;
ASV_234;Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;NA;NA;0;;0;
ASV_236;Eukaryota;NA;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas elongata;663;;0;
ASV_244;Eukaryota;Nematoda;Chromadorea;Rhabditida;Aphelenchoididae;Aphelenchoides;Aphelenchoides fragariae;0;;0;
ASV_246;Eukaryota;Nematoda;Chromadorea;Rhabditida;Tylenchidae;Basiria;Basiria gracilis;0;;773;
ASV_251;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas noctigama;426;;29;
ASV_261;Eukaryota;Nematoda;Chromadorea;Rhabditida;Panagrolaimidae;Halicephalobus;Halicephalobus gingivalis;0;;0;
ASV_262;Eukaryota;Porifera;Demospongiae;Poecilosclerida;Cladorhizidae;Asbestopluma;Asbestopluma lycopodium;0;;297;
ASV_263;Eukaryota;Perkinsozoa;NA;Perkinsida;Perkinsidae;Perkinsus;Perkinsus sp. CCA2001;0;;421;
ASV_279;Eukaryota;NA;NA;Rigifilida;NA;Rigifila;Rigifila ramosa;0;;0;
ASV_294;Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales;Gomphonemataceae;Gomphonema;Gomphonema micropus;200;;0;
ASV_296;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces;Wickerhamomyces onychis;0;;0;
ASV_298;Eukaryota;Nematoda;Chromadorea;Rhabditida;Criconematidae;NA;NA;0;;0;
ASV_306;Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Microglena;Microglena media;507;;39;
ASV_307;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella;NA;0;;0;
ASV_325;Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula glutinis;0;;0;
ASV_331;Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Microdochiaceae;Ciliosporella;Ciliosporella italica;0;;0;
ASV_342;Eukaryota;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Annulohypoxylon;Annulohypoxylon palmicola;0;;168;
ASV_353;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;NA;0;;0;
ASV_354;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;NA;0;;0;
ASV_357;Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Cutaneotrichosporon;Cutaneotrichosporon cutaneum;0;;0;
ASV_362;Eukaryota;Nematoda;Chromadorea;Rhabditida;Aphelenchoididae;Aphelenchoides;Aphelenchoides saprophilus;0;;0;
ASV_376;Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor;NA;0;;0;
ASV_377;Eukaryota;NA;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera;183;;0;
ASV_390;Eukaryota;NA;NA;Rotosphaerida;Nucleariidae;Nuclearia;Nuclearia pattersoni;0;;0;
ASV_392;Eukaryota;Nematoda;Chromadorea;Rhabditida;Cucullanidae;NA;NA;0;;0;
ASV_395;Eukaryota;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Anteholosticha;Anteholosticha marimonilata;0;;0;
ASV_397;Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;NA;NA;0;;782;
ASV_403;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella;Wickerhamiella pararugosa;0;;0;
ASV_408;Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Diatoma;Diatoma moniliforme;138;;0;
ASV_425;Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Pogostemon;Pogostemon stellatus;0;;0;
ASV_458;Eukaryota;Nematoda;Chromadorea;Rhabditida;Cephalobidae;Eucephalobus;Eucephalobus oxyuroides;0;;0;
ASV_464;Eukaryota;Ciliophora;Spirotrichea;Urostylida;Urostylidae;Urostyla;Urostyla grandis;0;;0;
ASV_468;Eukaryota;Nematoda;Chromadorea;Rhabditida;Belonolaimidae;Belonolaimus;Belonolaimus longicaudatus;0;;119;
ASV_470;Eukaryota;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;NA;0;;0;
ASV_477;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Nadsonia;Nadsonia starkeyi-henricii;0;;13;
ASV_478;Eukaryota;Streptophyta;Magnoliopsida;NA;NA;NA;NA;0;;56;
ASV_485;Eukaryota;Ciliophora;Armophorea;Metopida;Metopidae;Metopus;Metopus hasei;0;;112;
ASV_501;Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer paxii;0;;0;
ASV_525;Eukaryota;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Tropicoporus;Tropicoporus linteus;0;;101;
ASV_539;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Entomortierella;Entomortierella parvispora;0;;0;
ASV_540;Eukaryota;Basidiomycota;Spiculogloeomycetes;Spiculogloeales;Spiculogloeaceae;Phyllozyma;Phyllozyma subbrunnea;0;;0;
ASV_547;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae;Carchesium;Carchesium polypinum;97;;0;
ASV_551;Eukaryota;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas tuberculata;0;;18;
ASV_552;Eukaryota;Nematoda;Chromadorea;Rhabditida;Aphelenchoididae;Aphelenchoides;Aphelenchoides blastophthorus;0;;0;
ASV_561;Eukaryota;Nematoda;Chromadorea;Rhabditida;Aphelenchoididae;Aphelenchoides;Aphelenchoides bicaudatus;0;;0;
ASV_579;Eukaryota;Nematoda;Chromadorea;Rhabditida;Aphelenchoididae;Aphelenchoides;NA;0;;0;
ASV_581;Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;Trichosporon multisporum;0;;0;
ASV_583;Eukaryota;Ciliophora;Spirotrichea;Stichotrichida;Spirofilidae;Pseudouroleptus;Pseudouroleptus caudatus;5;;90;
ASV_596;Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Cinetochilidae;Pseudoplatynematum;Pseudoplatynematum denticulatum;86;;0;
ASV_598;Eukaryota;Streptophyta;Zygnemophyceae;Desmidiales;Desmidiaceae;Cosmarium;Cosmarium lundellii;0;;86;
ASV_605;Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Rhynchogastremaceae;Papiliotrema;Papiliotrema flavescens;0;;0;
ASV_606;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;[Candida] palmyrensis;0;;0;
ASV_610;Eukaryota;Nematoda;Chromadorea;Rhabditida;Tylenchulidae;Paratylenchus;Paratylenchus lepidus;0;;155;
ASV_637;Eukaryota;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Pygmaeomycetaceae;Pygmaeomyces;Pygmaeomyces thomasii;0;;8;
ASV_643;Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Wrangelia;Wrangelia plumosa;0;;80;
ASV_644;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;NA;0;;80;
ASV_665;Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;Solicoccozyma terricola;0;;24;
ASV_672;Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Rhynchogastremaceae;Papiliotrema;Papiliotrema laurentii;0;;21;
ASV_695;Eukaryota;Streptophyta;Bryopsida;Splachnales;Splachnaceae;Tetraplodon;Tetraplodon fuegianus;0;;84;
ASV_696;Eukaryota;Ciliophora;Nassophorea;Microthoracida;Microthoracidae;Leptopharynx;Leptopharynx costatus;0;;99;
ASV_725;Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;NA;NA;0;;22;
ASV_726;Eukaryota;Oomycota;NA;Pythiales;Pythiaceae;NA;NA;81;;0;
ASV_728;Eukaryota;Nematoda;Chromadorea;Rhabditida;Anguinidae;Ditylenchus;Ditylenchus dipsaci;0;;71;
ASV_733;Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;NA;0;;0;
ASV_737;Eukaryota;Nematoda;Chromadorea;Rhabditida;Ecphyadophoridae;Lelenchus;Lelenchus leptosoma;0;;156;
ASV_738;Eukaryota;Ciliophora;Spirotrichea;Urostylida;NA;NA;NA;0;;100;
ASV_752;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;NA;0;;0;
ASV_781;Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Desmodesmus;Desmodesmus baconii;25;;102;
ASV_789;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;NA;NA;NA;0;;0;
ASV_790;Eukaryota;Nematoda;Chromadorea;Rhabditida;Pratylenchidae;Pratylenchus;Pratylenchus hippeastri;0;;0;
ASV_791;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Lunasporangiospora;Lunasporangiospora selenospora;0;;62;
ASV_807;Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula gregaria;62;;0;
ASV_813;Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana;61;;0;
ASV_814;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Nakazawaea;Nakazawaea peltata;0;;0;
ASV_832;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida parapsilosis;0;;0;
ASV_834;Eukaryota;Zoopagomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus;Basidiobolus heterosporus;0;;65;
ASV_836;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae;NA;NA;0;;0;
ASV_839;Eukaryota;Ciliophora;Spirotrichea;Urostylida;Urostylidae;Birojimia;Birojimia soyaensis;0;;89;
ASV_862;Eukaryota;Nematoda;Enoplea;Trichinellida;Capillariidae;Aonchotheca;Aonchotheca putorii;0;;0;
ASV_863;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia membranifaciens;0;;0;
ASV_867;Eukaryota;NA;Breviatea;NA;NA;Breviata;Breviata anathema;0;;144;
ASV_880;Eukaryota;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Cultellothrix;Cultellothrix coemeterii;0;;15;
ASV_882;Eukaryota;NA;NA;Rotosphaerida;Nucleariidae;Nuclearia;NA;54;;0;
ASV_901;Eukaryota;Nematoda;Chromadorea;Rhabditida;Tylenchidae;Filenchus;Filenchus andrassyi;0;;210;
ASV_912;Eukaryota;Bacillariophyta;NA;NA;NA;NA;NA;0;;0;
ASV_931;Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;NA;NA;51;;0;
ASV_950;Eukaryota;Bacillariophyta;Bacillariophyceae;Surirellales;Surirellaceae;Surirella;Surirella angusta;50;;0;
ASV_955;Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;Cryptoperidiniopsis;Cryptoperidiniopsis brodyi;0;;90;
ASV_956;Eukaryota;Ascomycota;Leotiomycetes;NA;NA;NA;NA;0;;90;
ASV_962;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;NA;0;;0;
ASV_963;Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Lentitheciaceae;Keissleriella;NA;0;;52;
ASV_964;Eukaryota;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Mesenchytraeus;Mesenchytraeus nivalis;0;;49;
ASV_992;Eukaryota;NA;Chrysophyceae;Chrysosphaerales;Chrysosphaeraceae;Chrysosphaera;Chrysosphaera parvula;24;;10;
ASV_993;Eukaryota;Tardigrada;Eutardigrada;Parachela;Halobiotidae;Halobiotus;Halobiotus crispae;0;;0;
ASV_996;Eukaryota;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca;Aspidisca fusca;47;;0;
ASV_1017;Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia dissipata;61;;0;
ASV_1018;Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Tetradesmus;Tetradesmus distendus;0;;46;
ASV_1019;Eukaryota;Nematoda;Enoplea;Dorylaimida;Qudsianematidae;Ecumenicus;Ecumenicus sp. 85G11;0;;46;
ASV_1027;Eukaryota;Ciliophora;Spirotrichea;Stichotrichida;Cladotrichidae;Engelmanniella;Engelmanniella mobilis;0;;7;
ASV_1028;Eukaryota;Nematoda;Chromadorea;Rhabditida;Telotylenchidae;Sauertylenchus;Sauertylenchus maximus;0;;0;
ASV_1045;Eukaryota;Ciliophora;Oligohymenophorea;Thigmotrichida;Ancistridae;Ancistrum;Ancistrum japonicum;44;;0;
ASV_1061;Eukaryota;Discosea;NA;Longamoebia;Balamuthiidae;Balamuthia;Balamuthia mandrillaris;0;;0;
ASV_1079;Eukaryota;NA;NA;Rigifilida;NA;Micronuclearia;Micronuclearia podoventralis;42;;5;
