superkingdom;phylum;class;order;family;genus;species;;Eau18S;Normalisation (%);Sol18S;Normalisation (%)
ASV_491;Eukaryota;Evosea;Variosea;Fractovitellida;Schizoplasmodiidae;NA;NA;3;;9;
ASV_359;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Histiostomatidae;Histiostoma;Histiostoma inquilinum;0;;0;
ASV_35;Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophydiales;NA;NA;NA;0;;18;
ASV_1109;Eukaryota;Tubulinea;Echinamoebida;NA;Echinamoebidae;Echinamoeba;Echinamoeba thermarum;0;;137;
ASV_313;Eukaryota;Cercozoa;Thecofilosea;Tectofilosida;NA;Fisculla;Fisculla terrestris;0;;0;
ASV_358;Eukaryota;Basidiomycota;Agaricomycetes;NA;NA;NA;NA;0;;0;
ASV_455;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;NA;0;;0;
ASV_371;Eukaryota;Tubulinea;Echinamoebida;NA;NA;Vermamoeba;Vermamoeba vermiformis;0;;109;
ASV_334;Eukaryota;NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;Poterioochromonas stipitata;9;;4;
ASV_537;Eukaryota;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Arcuospathidium;Arcuospathidium namibiense;0;;64;
ASV_50;Eukaryota;NA;Chrysophyceae;Chromulinales;NA;NA;NA;13;;244;
ASV_363;Eukaryota;Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Cricophorus;Cricophorus nutrix;0;;4;
ASV_350;Eukaryota;Basidiomycota;NA;NA;NA;NA;NA;0;;6;
ASV_717;Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA;0;;88;
ASV_573;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces;Spizellomyces acuminatus;0;;48;
ASV_1801;Eukaryota;Arthropoda;NA;NA;NA;NA;NA;0;;0;
ASV_546;Eukaryota;Evosea;Variosea;Cavosteliida;NA;Schizoplasmodiopsis;Schizoplasmodiopsis vulgaris;0;;0;
ASV_984;Eukaryota;Evosea;Variosea;Fractovitellida;Schizoplasmodiidae;Nematostelium;Nematostelium ovatum;30;;73;
ASV_410;Eukaryota;Cercozoa;NA;Glissomonadida;Viridiraptoridae;Viridiraptor;Viridiraptor invadens;0;;0;
ASV_235;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella antarctica;0;;56;
ASV_625;Eukaryota;Annelida;Polychaeta;NA;Parergodrilidae;Stygocapitella;Stygocapitella minuta;0;;0;
ASV_794;Eukaryota;NA;NA;Apusomonadida;Apusomonadidae;Amastigomonas;Amastigomonas mutabilis;0;;21;
ASV_248;Eukaryota;Chytridiomycota;NA;NA;NA;NA;NA;0;;226;
ASV_417;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella rostafinskii;0;;7;
ASV_565;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca kvevrii;0;;0;
ASV_135;Eukaryota;Arthropoda;Collembola;Poduromorpha;Tullbergiidae;Tullbergia;Tullbergia yosii;0;;501;
ASV_646;Eukaryota;Nematoda;Chromadorea;Rhabditida;Anguinidae;Ditylenchus;Ditylenchus sp. 85C1;0;;0;
ASV_716;Eukaryota;Mucoromycota;Glomeromycetes;Paraglomerales;Paraglomeraceae;Paraglomus;Paraglomus occultum;0;;0;
ASV_463;Eukaryota;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Glaeseria;Glaeseria mira;24;;58;
ASV_207;Eukaryota;Tubulinea;Elardia;Leptomyxida;Flabellulidae;Rhizamoeba;Rhizamoeba saxonica;0;;113;
ASV_472;Eukaryota;Chytridiomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Neocallimastix;Neocallimastix frontalis;0;;0;
ASV_626;Eukaryota;NA;Bigyra;Bicosoecida;Bicosoecidae;Bicosoeca;Bicosoeca petiolata;0;;0;
ASV_538;Eukaryota;Apicomplexa;Conoidasida;NA;NA;NA;NA;0;;0;
ASV_664;Eukaryota;Tubulinea;Elardia;Leptomyxida;Leptomyxidae;Leptomyxa;Leptomyxa valladaresi;0;;0;
ASV_384;Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Cyrtohymena;Cyrtohymena citrina;0;;13;
ASV_529;Eukaryota;Porifera;Demospongiae;Poecilosclerida;NA;NA;NA;0;;0;
ASV_629;Eukaryota;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas danica;0;;23;
ASV_412;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Gaertneriomyces;Gaertneriomyces semiglobifer;0;;21;
ASV_337;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kodamaea;[Candida] mesenterica;2;;0;
ASV_247;Eukaryota;Ctenophora;NA;NA;NA;NA;NA;0;;7;
ASV_970;Eukaryota;Porifera;Demospongiae;NA;NA;NA;NA;0;;4;
ASV_515;Eukaryota;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Hartmannella;Hartmannella cantabrigiensis;13;;296;
ASV_159;Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;Apiotrichum dulcitum;0;;8;
ASV_593;Eukaryota;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;NA;0;;0;
ASV_1007;Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Lentitheciaceae;Keissleriella;Keissleriella quadriseptata;0;;12;
ASV_658;Eukaryota;Arthropoda;Arachnida;Ixodida;Argasidae;NA;NA;0;;0;
ASV_614;Eukaryota;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;NA;0;;0;
ASV_627;Eukaryota;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Schizopora;Schizopora paradoxa;0;;0;
ASV_239;Eukaryota;Ciliophora;Spirotrichea;Urostylida;Pseudourostylidae;Pseudourostyla;Pseudourostyla cristata;0;;24;
ASV_601;Eukaryota;NA;Aphelidea;NA;NA;NA;NA;4;;5;
ASV_870;Eukaryota;Porifera;Demospongiae;Dictyoceratida;NA;NA;NA;0;;14;
ASV_660;Eukaryota;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Zasmidium;Zasmidium cerophilum;0;;0;
ASV_422;Eukaryota;Basidiomycota;Agaricomycetes;Boletales;Paxillaceae;Paxillus;Paxillus filamentosus;0;;8;
ASV_508;Eukaryota;Porifera;Calcarea;Clathrinida;Leucettidae;NA;NA;0;;13;
