tax_id,superkingdom,phylum,class,order,family,genus,species,CMM-16S_S43_L001_R1,Compost-MB-16S_S42_L001_R1,Compost-R-16S_S41_L001_R1,Eau-GT-16S_S38_L001_R1,JusPatate-XT-16S_S40_L001_R1,Sol-GT-16S_S39_L001_R1
237,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0,0,0,412,0,0
1484693,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,0,0,0,411,0,0
588673,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,,,,409,0,0,0,0,0
1162968,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Homoserinibacter,Homoserinibacter gongjuensis,9,199,0,0,0,200
2789776,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,406,0,0,0,0,0
1883,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,,0,0,0,0,0,404
2519477,Bacteria,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa fuliginosa,0,0,0,402,0,0
1293052,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans parvus,0,0,0,402,0,0
228654,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter pulmonis,0,0,0,397,0,0
331696,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys,Pseudolabrys taiwanensis,292,0,0,0,0,98
1217799,Bacteria,Chloroflexota,Dehalococcoidia,,,Dehalogenimonas,Dehalogenimonas alkenigignens,284,0,3,0,0,100
331696,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys,Pseudolabrys taiwanensis,386,0,0,0,0,0
57001,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Amaricoccus,Amaricoccus macauensis,385,0,0,0,0,0
407,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,,0,0,187,14,183,0
1386,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,,379,0,0,0,0,0
2789776,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,374,0,0,0,0,0
2799682,Bacteria,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Xenococcaceae,Xenococcus,Xenococcus spongiosum,0,0,0,374,0,0
331696,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys,Pseudolabrys taiwanensis,144,58,0,0,0,166
1189325,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Oceanicella,Oceanicella actignis,367,0,0,0,0,0
13687,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,0,0,211,22,134,0
1485,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,,0,0,0,366,0,0
1002870,Bacteria,Actinomycetota,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,365,0,0,0,0,0
1150298,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans,0,0,0,358,0,0
1169406,Bacteria,Cyanobacteriota,Cyanophyceae,Nodosilineales,Nodosilineaceae,Haloleptolyngbya,Haloleptolyngbya alcalis,0,0,0,357,0,0
2211325,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,,,355,0,0,0,0,0
1400387,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,Bythopirellula goksoeyrii,351,0,0,0,0,0
